stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
869,186A,Hermanowa Czerwonki środek 62 nż,,49.9332488427623,22.0420745015144,,,
870,184A,Hermanowa Kamieniec skrz. 60 nż,,49.9316716744394,22.0314355194569,,,
871,182A,Hermanowa skrzyżowanie 59 nż,,49.9272036139037,22.0282296091318,,,
1110,154W,Hermanowa góra 18 nż,,49.9216627471955,22.0292267203331,,,
865,205A,Hermanowa pętla 17 nż,,49.9186906634921,22.0331910252571,,,
1115,153W,Hermanowa góra 15 nż,,49.9218457980754,22.029384970665,,,
864,195A,Hermanowa Czerwonki 13 nż,,49.9271125303984,22.0282490551472,,,
872,180A,Hermanowa kościół 11 nż,,49.932002,22.020106,,,
1112,151W,Hermanowa cmentarz 09 nż,,49.9378807748946,22.0209065079689,,,
873,178A,Hermanowa szkoła 07 nż,,49.942125,22.02023,,,
874,176A,Hermanowa dworek 05 nż,,49.9490970794095,22.0260161161423,,,
875,174A,Hermanowa dół 03 nż,,49.9564920594421,22.0317640900612,,,
115,188A,Tyczyn Kopernika 39,,49.9627005495249,22.0342317223549,,,
364,179A,Tyczyn Grunwaldzka park 01 nż,,49.96531,22.03008,,,
1071,208A,Tyczyn Grunwaldzka POM 27 nż,,49.9720687116428,22.0265793800354,,,
770,112A,Sikorskiego / Kard. K. Wojtyły 11 nż,,49.9820542340202,22.0202171802521,,,
365,114A,Sikorskiego / Rodzinna 09 nż,,49.9894217342571,22.0183128118515,,,
366,116A,Sikorskiego / Białogórska 07 nż,,49.9942293164247,22.0182430744171,,,
628,1D1,Dworzec Lokalny,,50.0427661933647,21.994261443615,,,
712,101S,Rudna Wielka I 02 nż,,50.08505,21.94348,,,
694,28W,Rudna Wielka kościół 30 nż,,50.0876866597735,21.95617005229,,,
695,26W,Rudna Wielka Pehamet 32 nż,,50.0875799611168,21.9598218798637,,,
778,116W,Pogwizdowska granica 05 nż,,50.0875988915409,21.9654236733913,,,
779,22W,Pogwizdowska szkoła 03 nż,,50.0874646574626,21.9711032509804,,,
780,20W,Pogwizdowska OSP 01 nż,,50.0849726539924,21.9746008515358,,,
697,18W,Myśliwska / Pogwizdowska 03 nż,,50.0784098731033,21.9798472523689,,,
777,142W,Myśliwska / Św. Huberta 01 nż,,50.0767952878647,21.9839483499527,,,
698,14W,Warszawska / Myśliwska 09 nż,,50.0751892552183,21.9875036180019,,,
211,12W,Warszawska / Borowa 07 nż,,50.06769,21.99057,,,
351,98W,Staromiejska szkoła 05 nż,,50.060803138877,21.9972440600395,,,
352,96W,Staromiejska dom kultury 03 nż,,50.05829,22.00079,,,
353,94W,Staromiejska / Lubelska 01 nż,,50.0543954865657,22.0035472512245,,,
64,4L,Lubelska kościół 05 nż,,50.0529144239448,22.0031690597534,,,
70,15A,Hetmańska podzamcze 02 nż,,50.0311892173434,21.9985073804855,,,
71,17A,Hetmańska przychodnia 04,,50.0280636444555,21.996077299118,,,
72,19A,Hetmańska ZS. Mech. 06,,50.0246173525791,21.9949427247047,,,
77,169A,Sikorskiego / Łukasiewicza 06 nż,,50.0110796484701,22.0172667503357,,,
78,88A,Sikorskiego domki 08 nż,,50.00644,22.01738,,,
167,90A,Strażacka / Sikorskiego 07 nż,,50.0010087768486,22.0165693759918,,,
168,92A,Strażacka / Sympatyczna 05 nż,,50.0031637967276,22.0132434368134,,,
354,94A,Miła / Strażacka 02 nż,,50.0044722776605,22.0068919658661,,,
355,96A,Miła bloki 04 nż,,50.000141,22.004709,,,
356,122A,Miła szkoła 06 nż,,49.995917,22.004142,,,
357,124A,Kard. K. Wojtyły kościół 05 nż,,49.9926394877055,22.0094990730286,,,
358,166A,Kard. K. Wojtyły pętla 03 nż,,49.98675,22.01357,,,
359,175A,Kard. K .Wojtyły / Sikorskiego 01 nż,,49.9820939028903,22.0181787014008,,,
82,113A,Sikorskiego / Kard. K. Wojtyły 16 nż,,49.9803915615275,22.020922601223,,,
771,199B,Sikorskiego granica 18 nż,,49.9748753547469,22.0244577527046,,,
1036,64E,Nowe Wzgórze / Matysowska 02,,49.998627,22.055311,,,
1037,68E,Wierchowa I 02 nż,,49.9979571034534,22.0516151189804,,,
1038,70E,Wierchowa II 04 nż,,49.9993553801089,22.0491273701191,,,
1039,72E,Wierchowa III 06 nż,,50.0026655647172,22.0444616675377,,,
1040,74E,Smosarskiej 01 nż,,50.0033146445013,22.0404812693596,,,
651,73A,Kiepury / Herberta 01 nż,,50.00398,22.03779,,,
768,89G,Baligrodzka 01,,50.0479146389212,21.9456008076668,,,
769,64G,Iwonicka / Korczyńska 01 nż,,50.0492175955359,21.9499821960926,,,
912,72G,Odrzykońska / Iwonicka 01 nż,,50.048367620579,21.952036768198,,,
129,81G,Bł. Karoliny przedszkole 07,,50.0439676615555,21.9539116322994,,,
130,74G,Bł. Karoliny / Nowosądecka 05 nż,,50.04294,21.95831,,,
807,68G,Sanocka / Krośnieńska 01 nż,,50.0455618213128,21.9613319635391,,,
373,10G,Ustrzycka pętla 01 nż,,50.0491073666038,21.9643802940845,,,
46,6E,Okulickiego / Wyzwolenia 05 nż,,50.0552686032274,21.9879797101021,,,
